odia_word,desia_word,desia_sentence
ପ୍ରାୟ ଶହେ ଘର , ପାଖାପାଖୁ , ଖାରାଦିନେ ବର୍ଷା ନାହେ |
ବ୍ୟକ୍ତି , ଲୋକ୍‌ , ଖାରା ଦିନେ ପାନି ତଲର୍‌ ମାଟି ଶୁଖ୍‌ ଯାୟସି |
ନାତୁଣୀ , ନାତନୀ , ବେଡ଼ାମନ୍କେ ଚାଷବାସ୍‌ କର୍ବାୟ୍‌ |
ଜେଜେ , ଦାଦା , ରାମ ହଲ୍‌ ଧରିକରି ବେଡ଼ାୟ ଗାଲାନି |
ଡେରିରେ ଅସ୍ତ ଯାଆନି , ବେଲାକେ ବୁଡ଼ସି , ଲାକା ଫନସ୍‌ ଭିତ୍ରେ ହଳ୍ଦି ରେଯ୍ସି |
ଗଛପତ୍ର , ଗଚ ପତର , ଜାମକଲି କାଲିଆ ରେଯ୍ସି |
ଅଧ୍‌କ ଗରମ , ଜବର ତପତ , ମଲ୍ଲୀ ବାଡ଼େ ବାସ୍‌ନା।
ଗରମ ପବନ , ତପତ ପବନ , ମାଲ୍ତୀଫୁଲ୍‌ ସପୁର୍‌ ରେଯ୍ସୀ |
ବର୍ଷାହୁଏନାହିଁ , ବର୍ଷା ନାହେ ,  ଟଗର୍‌ ଫୁଲ୍‌ ଦେଖ୍ବାକେ ଧବ୍‌ ରେଯ୍ସି |
ମାଟି ଶୁଖୁଯାଏ , ମାଟି ଶୁଖୁଗାଲା ,  ରଜ ପରବ୍କେ ଟକି ମନ୍‌ ଡଲି ଝୁଲ୍ବାଯେ |
ଜମି , ବେଡ଼ା , ବର୍ଷା ଦିନେ ଡାଣ୍ଠ୍‌ ବାଟ୍‌ କାଦ ପଟ୍ପଚା ହେଲା ଆଚେ।
ହଳ , ହଲ୍‌ , ବେଶି ଦିନ ଧରି କରି ବର୍ଷା ହେବାଟା ଝଡ଼ି ବର୍ଷା କଯ୍ବାୟ୍‌ |
ସପୁରି , ଲାଙ୍କା ଫନସ୍‌ ,  ନଦୀ ଲଗେ ପୁର ପାନି ଆୟ୍ସି |
ଜାମୁ କୋଳି , ଜାମକଲି , ରାମ ଡାବୁ ପାଇଁ ବେଶି କାକୁର୍ତି ହେଲାନି |
ମଲ୍ଟୀ , ମଲ୍ଲୀ , ପିଲାମନ୍‌ କାଗଜ୍‌ ଡଙ୍ଗା ବନାୟ୍‌ ଲାଯ୍ନି |
ମାଳତୀ , ମାଲ୍ତୀ ,  ତୁଇ ମକେ ସେମିତି ନାକହ |
ଟଗର ଫୁଲ , ଟଗର ଫୁଲ ,  କୁକୁଡ଼ା ମନ୍କେ ମର୍ଡ଼ି ଧର୍ସି ଆଚେ |
ରଜ ପର୍ବ , ରଜ ପରବ୍‌ , ବେଡ଼ାୟ ଧାନ୍‌ ବୁନା ଯାଯ୍ସି।
ଚାରିଆଡ଼େ କାଦୁଅପଚପଚ , ସବୁବାଟେ କାଦ ପଚପଚା ¦, ଭେଣି ବିଚଲ୍‌ ଲାଗ୍‌ସି |
ଝଡ଼ିବର୍ଷା , ଝଡ଼ିପାନି ,  ଜନିକେ ଶାଗ୍‌ ରାନ୍ଦି ଖାଇବାର ହେଯ୍ସି |
ନଇଁବଢି , ପୁରପାନି , ସାରୁକାନ୍ଦାକେ ଅବ୍କା ଖାୟ୍ଲେ ଟଟୀ ଖାଜାଯ୍ସି|
ଅସୁବିଧା , କାକୁରତି , ଅମୃତ ମାଣ୍ଡା କାଚା ପତ୍ରିଆ ରେଯ୍ସି |
କାଗଜତଡଙ୍ଗା , କାଗଜ ଡଙ୍ଗା , ମକେ ଦାନ ବେଡାର ପାନି ଦେଖ୍‌ କରି ବଡ଼େ ସାର୍ଦା ଲାଗ୍‌ଲା।
ସେମିତି କହନା , ସେନତି ନାକ , ଧାନ୍‌ ମିଣ୍ଡାୟ କରି ବାସ୍ତାଲଗେ ସଙ୍ଗାୟ୍‌ ବାର୍‌ |
ମରୁଡ଼ି , ମରଡ଼ି ,  ତୁଇଁ ଆରି ମୁଇଁ ଜୟ୍‌ ଲାଗାୟ୍‌ କରି ଛେକୁ |
ଧାନବୁଣାହୁଏ , ଧାନ୍‌ ବୁଣାଯାୟସି ,  ଚେତେ ମନ୍‌ ଗଚେ ବାସା କର୍ବାୟଯ୍‌ |
ଭେଣ୍ଡି , ଭେଣ୍ଡି , ଗୀ ଥାନେ ଲୋକ୍‌ ମନ୍‌ ରେବାୟ୍‌ |
ଜହ୍ନି , ଜନି ,  ବେୈଶାକ୍‌ ମାସେ ବଡ଼େ ଖାରା ହେଯ୍ସି |
ସାରୁ , ସାରୁକାନ୍ଦା ,  ଏବେ ଆଗର ଥାନୁ ଅଧ୍କ୍‌ ଖାରା ହେଲାନି |
ସବୁଜ ପରିବା , କାଗପତ୍ରିୟା ଶାଗଡ଼ାଲ ,  ଆଷାଢ୍‌ ଗଟେକ୍‌ ମାସ୍‌ର ନୀ |
ମଜା , ସାରଦା , ଶାରାବନ୍‌ ମିଶା ଗଟେକ୍‌ ମାସର ନୀ |
ବସ୍ତା , ବାସ୍ତରା , ସାରା ଜଗତର୍‌ ଲୋକ୍‌ ଦୁଃଖ୍‌ ସୁଖ୍‌ ବାଟା କରି ରେବାର।
ନିଆଁ , ଜୟ ,  କାଲିକେ ଆମର୍‌ ଗାର୍ୟ ପରବ୍‌ ମାନବାୟ୍‌ |
ପକ୍ଷୀ , ଚେଡେ ,  କଇଁ ଫୁଲ୍‌ ବନ୍ଦେ ରଯ୍ସି |
ଅଞ୍ଚଳ , ଗୀ , ଓଡ଼ିଶା କେ ଉଳଲ ବୋଲି କହାଯାଯ୍ସି |
ବେଶାଖ , ବୈଶାକ୍‌ ,  ବଡ଼ ଇସୁଲେ ପାଠ୍‌ ପଡବାକେ ଯିବାର |
ପ୍ରଚଣ୍ଡ , ଅଧ୍‌କ , ସେ ଇସୁଲ୍ନୁ ଘରେ ଲେଉଟ୍ଲା |
ଆଷାଢ , ଆଷାଢ , ଭେଣିଆ ପିଲାକେ ଭୁତେକ୍‌ ବପୁ ରେଯ୍ସି |
ଶ୍ରାବଣ , ଶାରାବନ , ରାମ ମାଷ୍େର୍‌ ଚାକ୍ରି କର୍ସି ଆଚେ |
ଜଗତ , ଜଗତ , ପର୍ବତ ବନେ ବାଘ ବାଲୁ ମନ୍‌ ରେବାୟ୍‌ |
ଉତ୍ସବ , ପରବ , ବାଟା ଲଗେ ଗୋରୁ ଗାୟ ମନ୍‌ ଘୀସ୍‌ ଖାୟ୍ଲାଯ୍ନି|
କଇଁଫୁଲ , କଇଁ ଫୂଲ , ଭଲଯାଗା ଥାନେ ଘର୍‌ ବାନ୍ଦ୍ବାର୍‌ |
ଉଳଳ , ଉଳଳ ,  ଢେପ୍‌ ଜାଗା ଲଗେ ଠିଆ ହେଲେ ସବୁ ଜିନିଷ୍‌ ପତର୍‌ ଦେଖା ଯାଇସି।
ବିଶ୍ବବିଦ୍ୟାଳୟ , ବଡ଼ ଇସ୍କୁଲ , ଛେଲି ଡାଲ୍‌ ମୁଲ୍‌ ଖାଯ୍ସି |
ଫେରିଲା , ଲେଉଟଲା , ସାପ୍‌କେ ଦେକି କରି ପିଲାମନ୍‌ କଲାର୍‌ ହେଲାଯ୍‌ |
ଯୁବକ , ଭେଣ୍ଡିଆ ,  ଝର୍ନା ଲଗେ ପାନି ଗାଲାନି |
ଚାକିରୀ , ଚାକରୀ , ସେ ମନ୍‌ କାତାବାଉଭାଁ ହେଲାୟ୍ନି |
ପାହାଡ଼ , ପର୍ବତ ,  ଗବର୍‌ ଖତ୍କେ ବେନାଯୟା୍‌ ପାକାୟ୍‌ ବାର୍‌ |
ପଡ଼ିଆ , ବାଟା ,  ନିକ୍‌ ଖତ୍‌ ବେଡ଼ାୟ୍‌ ପାକାୟ୍‌ ବାର୍‌ |
ଜାଗା , ଟାନ୍‌ , ଧାନ୍‌ ଚାଷ୍‌ ବେଡ଼ାୟ୍‌ କର୍ବାର୍‌ |
ଉଚ୍ଚ , ଢେପ୍‌ ,  ତୁଇ ମକେ ଡାବୁ ଦେବି ବୋଲି କଇ ରେଲୁସ୍‌ |
ଛେଳି , ଛେଲି ,  ଟକି ସଙ୍ଗେ ଯେ ବିବା ହେସି ତାକେ ବର୍‌ କୟବାୟେ୍‌ |
ଚିକାର , କଲାର ,  ପିପଲ୍‌ ଗଛ୍‌ ଗଟେକ୍‌ ଗଛର୍‌ ନାଉଁ |
ଝରଣା , ଝରନା ,  ଶରଗି ଗଛର୍‌ ସେନ୍ଦା ମନ୍‌ ସାନ୍‌ ସାନ୍‌ ହେଯ୍ସି |
କଥାବାଉଭାଁ , କାତାବାରାଁ ,  ଦେବଦାରୁ ଗଛ ବଡ଼େ ଲମ୍‌ ରେଯ୍ସି |
ଗବର ଖତ , ଗବର ଖତ , ତେତଲି ଆମ୍ଲି ଲାଗ୍‌ସି|
ଉକୃଷ୍ଟ ସାର , ନିକ ଖତ , ବନ୍ଦାଡ଼୍‌ ଧରଲେ କଷି ଜାମ୍‌ ଖାୟ୍ଲେ ସରି ବନ୍ଦାଡ଼୍‌ ଛାଡ୍‌ସି।
ଫସଲ୍‌ , ଚାଷ , ଖାଜ୍ରୀ ଗଛେ ଖାଜ୍ରୀ ପାଟ୍ଲା ଆଚେ |
ଆପଣ , ତମେ ତୁର , ସେ ବଡ଼େ ନିକ ଉପାୟ ପାଞ୍ଚ୍ଲା ଆଚେ |
ବର , ବର , ସବୁ ଜିନିଷକେ ବ୍ୟବହାର କର୍ବାକେ ଯାନ୍‌ବାର୍‌ ଆଚେ।
ଅଶ୍ଵତଥ , ପିପଲ ଗଛ ,  ଏବେ କୁକ୍ତ଼ା ଡାକ୍ଲାନି |
ଶାଳ , ଶାଲ୍‌/ ଶରଗି , ଛେଲି ପାରାମ୍‌ ଲଗେଛେଲି ମନ୍‌ ଆଚତ୍‌ |
ଦେବଦାରୁ , ଦେବଦାରୁ , ମୁଇ ତାର୍‌ ସଙ୍ଗେ ଇସୁଲେ ଯିବି |
ତେନ୍ତୁଳି , ତେତୁଲି , ବିରିକେ ଡାଲି ବନାୟ୍ବାର୍‌ ହେଯ୍ସି |
ଜାମୁ , ଜାମ୍‌ , ମୁଗ୍‌ ଡାଲି ଚାପ୍ରା ଚାପ୍ରା ଲାଗ୍‌ସି |
ଖଜୁରୀ , ଖାଜ୍ରୀ ,  ସୋରଷୁକେ ତେଲ୍‌ ବନାୟ୍ବାର୍‌ ହେୟ୍ସି |
ଉପାୟ , ଉପାୟ , ଆଲୁ କାନ୍ଦାକେ ଭାଜି ଖାୟ୍ବାର୍‌ ହେଯ୍ସି |
ବ୍ୟବହାର , ବେବାର ,  ବାଇଗନ୍‌କେ ଶାଗ୍‌ ରାନ୍ଦ୍ବାର୍‌ ହେଯ୍ସି|
କୁକୁଡ଼ା , କୁକୁଡ଼ା ,  କପାକେ ଘାଆ ଥାନେ ଲଗାୟ୍ବାର ହେଯ୍ସି |
ଛେଳିଫାମ୍ମି , ଛେଲି ଫାରାମ ,  ବଡ଼େ ସୁନ୍ଦର୍‌ ବାନା ମନ୍‌ ଆଚେ |
ତା ସହ , ତାର ସଙ୍ଗେ ,  ଆମର୍‌ ଗାୟେ ଠାକରାଣୀ ମନ୍ଦିର୍‌ ଗଟେକ୍‌ ଆଟେ |
ବିରି , ବିରି ,  ଲୋକମନ୍‌ ମାପୁ ଘରେ ପୂଜା କର୍ବାଯ୍‌ |
ମୁଗ , ମୁଗ୍‌ ,  ଜନ୍‌ ଉଦି ୧୪ ଦିନ୍କେ ଅମାବାସ୍ୟା ହେଯ୍ସି |
ସୋରିଷ , ସୋରିଷୁ , ଦୀପାବାଲୀ ଦିନେ ବାନ ଫୁଟାୟ୍‌ ବାଯ୍‌ |
ଆଳୁ , ଆଲୁ ,  ଆଜି ଆମର୍‌ ଗୀଏ ପରବ୍‌ ମାନ୍ଲାୟ୍ନି |
ବାଇଗଣ , ଆୟଗନ , ଆଗର୍‌ ଲୋକ୍‌ ମନ୍‌ ବଡ଼େ ସୁନ୍ଦର୍‌ ସୁନ୍ଦର୍‌ କାତାନୀ କୟ୍ବାୟ୍‌ |
କପା , କପା , ମୁସଲ୍ମାନ୍‌ କୟ୍୍‌ଲେ ସରି ଗଟେକ୍‌ ଧରମର୍‌ ଲୋକ |
ଚିତ୍ର , ବାନା , ସୀତା ଆଜି ଉପାସ କର୍ଲାନୀ |
ଠାକୁରାଣୀ , ଠାକରାନୀ , ସେ ଭୂତେକ୍‌ ପାଟ୍ପତ଼୍ଲା ଆଚେ |
ପୂଜା , ପୂଜା , ପୁସ୍‌ ମାସେ ପୁସ୍‌ ପରବ୍‌ ମାନ୍ବାଯ୍‌ |
ଅମାବାସ୍ୟା , ଅମାବାସ୍ଯା , ତାଙକ୍କର୍ତି ପିଲା ଗଟେକ୍‌ ଜନମ୍‌ ହେଲା |
ଦୀପାବଳୀ , ଦୀପାବାଲୀ ,  ଗୁନଗ ଦିନେ ମୁଇଁ ନୁଆଁ ତ୍ରେସ୍‌ଘେନି ଦେବି |
ପାଳନ , ମାନବାଟା ,  ଆଷାଡ଼୍‌ ମାସେ ଗୁନ୍ଚା ପରବ୍‌ ମାନ୍ବାୟଯ୍‌ |
ପୂର୍ବପୁରୁଷ , ଆଗର ଲୋକ ,  ପୁରୀ ଥାନେ ଜଗନ୍ନାଥ୍‌ ମନ୍ଦିର୍‌ ଆଚେ |
ମୁସଲମାନ , ମୁସଲମାନ , ସାରା ଜଗତ୍‌ ଜାନ୍ବାଟା ବିଶ୍ଵ ପ୍ରସିଦ କୟ୍ବାଯ୍‌ |
ଉପବାସ , ଉପାସ ,  ଆମର ଇସୁଲେ ଗଣେଶ ପୂଜା ମାନବୁ |
ବହୁତ , ଭୂତେକ , ମାଇଜି ମାପୁକେ ଦେବାମାତା କୟ୍ବାଯ୍‌ |
ଡିସେମ୍ଭର , ପୁସମାସ୍‌ , ମାଘ୍‌ ମାସେ ସରସ୍ଵତୀ ପୂଜା କର୍ବାଯ୍‌ |
ଜନ୍ମ , ଜନମ , ମାତ୍ମା ଗାନ୍ଧିକେ ସବୁ ଲୋକ୍‌ ଜାନତ୍‌ |
ରଥଯାତ୍ରା , ଗୁନଚା ,  ମୋକେ ୧୪ ବରଷ୍‌ ହେଲାଆଚେ |
ଆଷାଢ ମାସ , ଆଷାଡ଼ ମାସ , ଅକ୍ଟୋବର୍‌ ମାସେ ଦଶ୍ରା ହେଯ୍ସି |
ପୁରୀ , ପୁରୀ ,  ଆମର୍‌ ଦେଶର୍‌ ନା ଭାରତ୍‌ ବଲବାଯ୍‌ |
ବିଶ୍ବ ପ୍ରସିହ , ସାରା ଜଗତ୍‌ , ସବୁ ବର୍ଷେ ମୁଇଁ ଆମର୍‌ ଦାଦି ଘର୍ଗୀ କେ ବୁଲ୍‌ବାକେ ଯିବି।
ଗଣେଶ ପୂଜା , ଗଣେଶ ପୃଜା , ଇସୁଲ ମନ୍‌କେ ଗୁରୁ ଦିବସ୍‌ ପାଲନ୍‌ କର୍ବାଯ୍‌ |
ଦେବୀ , ମାତା ,  ଆମର ଦେଶର ବଡ଼ଲୋକ କେ ରାଷ୍ଟ୍ରପତି କୟବାୟ
ମାଘମାସ , ମାଘ୍‌ ମାସ୍‌ , ମାଘ୍ମାସେ ନୁଆଁବରଷ୍‌ ମାନ୍‌ ବାୟ୍‌ |
ମହାତ୍ନା ଗାନ୍ଧୀ , ମାତମା ଗାନ୍ଧୀ , କାୟ ହେଲେ କାମ୍‌ ଦାମ୍‌ ଜାମିରେବାର |
ମସିହା , ବରଷ୍‌ , ଜାନୁୟାରୀ ୨ ୬ ତାରିଖକେ ସାଧାରଣ ତନ୍ତ୍ର ଦିବସ୍‌ କୟ୍ବାଯ୍‌ |
ଅକ୍ଟୋବର ମାସ , ଦଶରା ମାସ ,  ଆମର୍‌ ମେନ ପରବ୍‌ ଚଇତ୍‌ ପରବ୍‌ |
ଭାରତ , ଭାରତ , ଇସୁଲେ ଦେଣ୍ଡା ଉଠାଯ୍ଲାୟ୍ନି |
ପ୍ରତି ବର୍ଷ , ସବୁବରଷ , ସେ ଗୀତ୍‌ ଶୁନ୍‌ଲାନି |
ଗୁରୁ ଦିବସ , ଗୁରୁ ଦିବସ , ଦେଶର କାଜେ ନୀରଖ୍ବା ଲକ୍କେ ବଡ଼୍‌ ଲୋକ୍‌ କୟ୍‌ ବାୟ୍‌ |
ରାଷ୍ଟ୍ରପତି , ରାଷ୍ଟର ପତି , ସେ ସବୁବାଟେ କାମ୍‌ କର୍ବାକେ ଜାନେ |
ଜାନୁୟାରୀ , ମାଘମାସ , ଗୀଗଲିର୍‌ ଲୋକ୍‌ ମନ୍‌ ବେଶି ଧରମ୍‌ ରେବାୟଯ୍‌ |
କାର୍ଯ୍ୟ , କାମ୍‌ ,"  ଅଗଷ୍, ୧୪ ଦିନ୍‌କେ ସାକାଲ୍‌ ସାକାଲ୍‌ ଇସୁଲେ ଯିବାର୍‌।"
ସାଧାରଣତନ୍ତ୍ର ଦିବସ, ସାଧାରଣ ତନ୍ତର ଦିନ୍‌ ,  ବର୍ଷା ମାସେ ଜବର୍‌ ବର୍ଷା ହେଯ୍ସି |
ଜାତୀୟ ପର୍ବ , ମେନ ପରବା ,"  ଅଗଷ, ୧ ଞ ଦିନ୍କେ ଗୀ ଭିତ୍ରେ ବୁଲ୍ବାର୍‌ |"
ପତାକା , ଦେଣ୍ଡା ,  ମୋକେ ମାଉସ୍‌ ଶାଗ୍‌ ଖାୟ୍ବାକେ ବେଶି ଇଛା |
ସଙ୍ଗୀତ , ଗୀତ ,  କୃଷଠ ଚନ୍ଦର୍‌ ଗଟେକ୍‌ ଲୋକର ନାଉଁ |
ମହାନ୍‌ , ବଡ଼ଟା ,  ଆମର୍‌ ଘରେ ଗତ୍ୟା ଆୟ୍ବାଯ୍‌ |
ସବୁ ସ୍ଫ୍ରାନରେ , ସବୁ ଜାଗାୟେ , ରଙ୍ଗ କାଗଜ୍‌କେ ଫୁଲ କାଟ୍ବାର୍‌ ହେଯ୍ସି |
ଗୀ ଗହଳି , ଗୀଗଲି , କାତାନି କୟ୍ଲାକେ ପିଲାମନ୍‌ ଚିମ୍ରା ହେଇ ଗାଲାଯ୍‌।
ସକାଳ , ସକାଲ ,  ଠିକ୍‌ ବେଲାକେ ଇସୁଲେ ଯିବାର୍‌ |
ଅଗଷ୍ଟ ମାସ , ବର୍ଷା ମାସ , ପିଲାମନ୍‌ ଇସୁଲେ ପତ୍କା ଉଭଳନ କର୍‌ ଲାଯ୍‌।
ଭିତରେ , ଭିତରେ , ମାଷ୍ଟେର୍‌ ଇସୁଲ୍‌ ଭିତ୍‌ରେ ଆୟ୍ଲା କେ ପିଲାଟକି ମନ୍‌ ଠିଆ ହେଲାଯ୍‌ |
ଆଗ୍ରହ , ଇଛା ,  ଟକିମନ୍‌ ଗୀତ୍‌ ଗାଯ୍ଲାଯ୍‌ |
କୃଷ୍ଠ ଚନ୍ଦ୍ର , କୃଷ୍ଠ ଚନ୍ଦର , ତାର୍‌ କର୍ମେ କାଯ୍ଟାନା ହେ |
ଅତିଥ , ଗତ୍ଯା , ମାପୁକେ ପୁଜା କରିବାର ହେଯ୍ସି |
ରଙ୍ଗିନ୍‌ କାଗନ , ରଙ୍ଗ କାଗଜ୍‌ ,  ସମୁଦ୍ର ଲୋଗେ ମଂଗର୍‌ ମନ୍‌ ରେବାୟ୍‌ |
ସ୍ତରର , ଚିମରା , ସାକାଲ୍‌ ସାକାଲ୍‌ ପୁଜା କର୍ଲେ ଶୁଭ୍‌ କାମ୍‌ ହେଯ୍ସି |
ଠିକ ସମୟ , ଠିକ୍‌ ବେଲ ,  ଯମୁନା ଗଟେକ୍‌ ନଦୀର୍‌ ନାଉଁ |
ଉତ୍ତୋଳନ , ଉଭୋଳନ ,  ଆମର୍‌ ଦେଶେ ଇଂରେଜ୍‌ ମନ୍‌ ଶାସନ୍‌ କର୍ଚେ ରେଲାଯ୍‌ |
ଛିଡ଼ା ହେଲେ ,  ଠିଆଁ ହେଲାୟ , ଇଂରାଜୀ ମନ୍‌ ବେଶି କଡ଼ା ଶାସନ୍‌ କର୍ତେ ରେଲାଯ୍‌ |
ସଙ୍ଗୀତ ଗାଇଲେ , ଗୀତ ଗାୟଲାୟ ,  ପତ୍କା ଲଗେ ତିନିଟା ରଙ୍ଗ୍‌ ଆଚେ।
ଭାଗ୍ୟ , କରମ , ସବୁ କାମ୍‌ କର୍୍‌ବାକେ ସାହାସ୍‌ କର୍‌ ବାର୍‌ ଆଟେ |
ବିଧାତା , ମାପ୍ର , ସେ ଧବ୍ଲା ଫଟାୟ ପିନ୍ଦ୍ଲା ଆଚେ।
ସିନ୍ଧୁ , ସମୁଦ୍ର , ପିଲାମନ୍‌ ମାଷ୍ଟେର ଆୟଲାକେ ଚିମରା ହେଇ ଗାଲାୟେ |
ଶୁଭ , ଶୁଭ୍‌ ,  ଗଛର୍‌ ପତର କାଚାପତ୍ରିଆ ରେଯ୍ସି।
ଯମୁନା , ଯମୁନା , ସେ ମଝିଲଗେ ବସ୍‌ଲା ଆଟଚେ।
ଇଂରେଜ ମାନେ, ଇଂରେଜମନ ,  ସାଇକଲକେ ଦୂଇଟା ଚକା ରେଇସି।
ଶାସନ , ଶାସନ , ବାଦଲ୍‌ ନିଲିଆ ରେଯ୍ସି।
ତିନୋଟି ରଙ୍ଗ, ତିନିଟା ରଙ୍ଗ , ପିଲା ମନ୍‌ ପାଠ୍‌ ପଡ୍ଲାୟ୍ନି |
ସାସର ପ୍ରତୀକ,ସାହାସର ପ୍ରତୀକ , ଆମର୍‌ ଗାବେଶି ଉନ୍ତି ହେଲାନି।
ଧଳା ରଙ୍ଗ , ଧବଲା ରଙ୍ଗ , ମୋକେ ବେଶି ଡାବୁ ଦର୍‌କାର୍‌ ଆଚେ।
ଶାନ , ଚିମରା ,  ଆମର୍‌ ବେଶର୍‌ ନାଉଁ ଭାରତ୍‌ |
ସବୁଜ ରଙ୍ଗ , କାଗ ପତରିଆ ,  ଦୁଇଟା କୁକୁଡ଼ା ଗାଞ୍ଜା ପାଲି ଲାୟ୍ନି |
ମଝିରେ , ମଝିଲଗେ ,  ମୋକେ ଗଟେକ୍‌ ଆୟା ଆଚେ |
ଚକ୍ର , ଚକା , ମୀ ପିଲାକେ ଶୁଆଇସି |
ନୀଳ ରଙ୍ଗ , ନୀଲିଆ ରଙ୍ଗ , ଆୟାପିଲା ମନ୍‌କେ କଲେ ଧର୍‌ସି ।
ଶିଶୁ , ପିଲା , ମୋର୍‌ ମୀ ମକେ ଲାଡ଼୍‌ କର୍‌ସି।
ଉନ୍ନତି , ଉପକାର , ମୁଇଁ କାନ୍ଦ୍‌ଲେ ମୋର୍‌ ମୀ ମକେ ହସାଯ୍ଦେସି |
ଆବଶ୍ଯକ , ଦରକାର ,  ମୋର ଆଭ ମୋକେ କାତାନୀ କଇଦେଯ୍ସି ।
ଦେଶ , ଦେଶ ,  ଘରେ ଲାଗାଲାଗି ହେଲେ ସରି ଆୟା ବୁଜାଯ୍ସି ।
ଲଢିବା , ଲାଗବାର ,  ମୋକେ ଶୟ୍ବା ପାଇଁ ମୋର୍‌ ମୀ ମକେ ଆଚ୍ନା ପକାଯ୍‌ ଦେଯ୍ସି |
ମା , ଆଯା , ମୋର୍‌ ମା ମକେ ଡେରେସ ପିନ୍ଦାୟ୍‌ ଦେଇସି।
ଶୁଆଇ ଦେବ , ଶୁଆଯସି , ପିଲାମନ୍‌ କାନ୍ଦ୍‌ ଲେମୀ ଜନ୍‌କେ ଦେଖାଯ୍ସି ।
କୋଳେ ଧରିବ , କଲେ ଧାରସି , ମୋର ଫାଟା ମୁଣା ସଜାୟ୍‌ ଦେଇସି ।
ଗେଲ କରିବା , ଲାଡ଼ କରସି , ମୁଇଁ ଇସ୍ଗୁଲେ ଯାଇରେଲେ ମୋର୍‌ ବାଟକେ ଦେଖ ତେ ରେଯସି।
ହସେଇ ଦେବ , ହସାୟସି ,  ଆଯାମୋକେ ଦୁନିଆର୍‌ ପିଲା ଥାନୁ ବେଶି ଭଲ ବୋଲି କଯ୍ସି।
ଗପ , କାତାନୀ , ବାଉଁଶ୍‌ ଗଛ୍‌ ବାଡ଼େ ଲର୍ମ ରେଯସି |
ବୂଝେଇ ଦେବ , ବୁଝାୟସି , ସାପ୍‌ ଗବ୍ଲେ ମର୍ବାର୍‌ ହେଯ୍ସି |
ବିଛଣା , ଅଚନା , ଚେଡେ ମନ୍‌ ଗଛେ ରେବାଯ୍‌ |
ପେଷକ ଫିଵଇ ଦେବ,ଡେରେସ୍‌ ପିନ୍ଦାୟ ଦେଇସି, ପୁତଲା ଧେରି କରି ପିଲାଟକି ମନ୍‌ ଖେଲ୍‌ଲାୟନି ।
ଦେଖାଇଦେବ , ଦେଖାଯସି , ରାତିର୍‌ ବେଲା ଜନ୍‌ ଉଦ୍ଶି |
ବହିବସ୍ତାନୀ , ପାଟାମୁଣା , କଚିମ୍‌ ପାନି ଭିତ୍ରେ ରେଯ୍ସି |
ଅନେଇ ଥୁବ ,  ଦେଖ ତେ ରେସି, ଟେକ୍‌ ପତର୍‌ ବଡ଼୍‌ ବଡ଼୍‌ ରେଯ୍ସି |
ଦୁନିଆ , ଦୁନିଆଁ , ଖାଡ଼ା ବନେ ରେଯ୍ସି।
ଗଛ , ଗଛ , ସଡ଼କ୍‌ ଲଗେ ଲୋକ୍‌ ମନ୍‌ ହିଣି ଗାଲାୟ୍ନି |
ସାପ , ସାପ୍‌ , ଘରଥାନେ ଲୋକ ରେବାଯ୍‌ |
ଚଢେଇ , ଚେତେ , ମାଇଜୀ ମନ ଫାଟାୟ ପିନ୍ଦବାୟଯେ |
କଣେଇ , ପୁତଲା ,  ଆମର୍‌ ଘରେ କୁକୁର ଆଚେ |
ଜହ୍ଣ , ଜନ , ପାନୀ ନେଲାନି।
କଇଟ , କଚିମ , ମାଇଜୀ ଗଟେକି ବାଡ଼ାନ ଲାୟ୍ନୀ |
ପତ୍ର , ପତର ,
ଠେକୁଆ , ଖାଡ଼ା , ଆମର୍‌ ଦେଶର୍‌ ନାଉଁ ଭାରତ୍‌ |
ରାସ୍ତା , ସଡ଼କ , ଭାରତ୍‌ ଆମର୍‌ ଜନମ୍‌ ମାଟି |
ଘର , ଘର , ମାତାର୍‌ କୋଲେ ପିଲାକେ ବସେଇଲା ଆଟେ।
ସ୍ତ୍ଵୀ ,  ମାଇଜୀ , ଆମର ବାଡ଼େ କେଡ଼େ ସୁନ୍ଦର୍‌ ଆମ୍‌ ଗଛ୍‌ ବାଡ଼୍‌ଲନୀ |
କୂକୁର , କୁକୁର , ଆୟାର କାତା ମାନ୍ବାର୍‌ |
ସ୍ତ୍ରୀ ଜଣେ ପାରି ନେଉଛି, ମାଇଜୀ ଗଟେକ , ଆମେ ଦିଆଲିମାସେ ଦିଆଲି ପରବ୍‌ ମାନଲୁନି।
ଝାଡ଼ୁ କରୁଛି , ବାଡ଼ାନ୍‌ ଲାନୀ ,  ଗାଉଁ ଆମର୍‌ ଜନମ୍‌ ମାଟି |
ରୋଷେଇ କରୁଛି , ରାନ୍ଦଲାନି, ଦୁରର୍‌ ପରବ୍‌୍ତର୍‌ କାଚାପତ୍ରିୟା ଗଛ ବଡ଼େ ସୁନ୍ଦର୍‌ ଦିଶ୍ଲାନି |
ଦେଶ , ଦେଶ୍‌ ,  ଘର୍‌ ଉପରେ କୁମଡ଼ା ମାଲ୍‌ ଗାଲା ଆଛେ |
ଜନମ , ଜନମ୍‌ , ମାକ୍ଡ଼୍‌ ଖେନ୍ଦାକେ ଗେନ୍ଦା ଡ଼ଗାୟ ବୁଲଲାନି।
